002	0
003	0
004	0
006	1
009	0
010	0
011	0
012	1
013	0
014	0
015	0
016	0
017	0
018	0
019	0
020	0
021	1
022	0
023	0
024	0
029	0
030	1
031	1
032	1
033	1
034	0
035	1
036	1
037	0
038	0
039	0
040	0
042	1
043	0
044	1
045	0
46	0
47	1
48	0
49	0
50	0
51	0
52	1
53	0
54	0
55	0
56	0
57	0
58	1
59	0
60	0
61	0
62	1
63	1
64	1
65	1
66	0
67	1
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	1
77	1
78	1
79	0
80	1
81	1
82	1
83	0
84	1
86	0
87	0
88	1
89	1
90	1
91	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
